Ariana Grande,"we can't be friends (wait for your love)"
Benson Boone,Beautiful Things
Djo,End of Beginning
¥$,"CARNIVAL (w/ Kanye West, Ty Dolla $ign)"
Teddy Swims,Lose Control
Tate McRae,greedy
Taylor Swift,Cruel Summer
FloyyMenor,"Gata Only (w/ Cris Mj)"
Beyoncé,TEXAS HOLD 'EM
The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
Mitski,My Love Mine All Mine
Noah Kahan,Stick Season
Xavi,La Diabla
Feid,"LUNA (w/ ATL Jacob)"
V,FRI(END)S
Ariana Grande,"yes, and?"
21 Savage,redrum
Ariana Grande,the boy is mine
SZA,Saturn
Travis Scott,FE!N